frequency	term
1854	주식회사
1851	Method
1849	진입
1849	인력
1843	2020년
1840	2018년
1835	생태계
1821	대표적
1820	협력
1820	전달
1819	장점
1812	대형
1796	특정
1792	활동
1790	외부
1787	안정성
1779	해결
1776	운전자
1773	제시
1771	US
1769	직접
1758	신규
1755	고객
1751	측면
1746	꾸준
1741	세부
1734	기회
1732	이외
1728	최소화
1728	크기
1719	건강
1712	의존
1704	고도화
1701	최적
1697	공개
1692	회로
1691	초기
1686	연차별
1682	포함한
1680	필요함
1675	용이
1671	평균
1670	패턴
1663	전문
1658	건물
1655	예정
1651	제품분류
1646	미흡
1643	종류
1630	안전성
1629	대학
1626	질적
1617	생체
1616	갖는
1615	탐지
1610	조절
1606	협업
1596	향상시
1595	시설
1589	치료
1586	내부
1585	출력
1581	공유
1577	사례
1576	리스트
1573	지수
1567	이전
1566	위주
1560	특허활동
1542	점차
1541	일반
1540	대규모
1539	현장
1536	조정
1526	가지고
1517	강점
1513	백만
1505	기록
1497	선도
1496	마련
1490	것을
1488	접근
1486	수치
1478	설정
1476	국내외
1476	일반적
1473	추적
1473	대용량
1462	용도
1461	유사
1456	전자부품연구원
1453	산업구조
1450	보임
1449	기술적
1447	2구간2015년2019년
1446	구성된
1446	1구간2011년2014년
1444	최초
1440	운용
1434	적층
1417	매출
1415	합계
1411	상위
1404	혁신
1399	발굴
1396	연관도
1391	다중
1389	산업통상자원부
1385	한국생산기술연구원
1383	중이
1383	한계
1383	공기
1381	완전
1379	니즈
1376	Tech
1375	기자재
1375	기술별
1366	산학연
1365	개념
1364	감시
1360	결정
1353	적극적
1350	등록번호
1346	치열
1341	급격
1336	단순
1327	업체들
1324	반영
1323	표현
1321	추가
1319	2019년
1318	어려움
1317	기술적용분야
1306	경향
1304	한국국적
1302	양산
1300	출원건수
1297	무역현황
1296	예상됨
1293	과제
1293	장착
1293	경량
1290	최종목표
1283	노력
1280	움직임
1266	획득
1265	선점
1262	연도별
1256	차단
1254	검토
1253	미만
1246	더욱
1243	실내
1228	2014년
1224	실현
1216	관계
1213	우리나라
1206	사람
1206	보조
1202	비롯
1200	외국인
1195	설립
1194	정확
1191	매출액
1178	없음
1172	실정
1171	분야별
1166	등장
1163	세부기술
1160	산업혁명
1154	약점
1154	Inc
1153	종합
1151	무역특화지수
1134	시도
1122	필수적
1117	부진
1112	사업화
1110	달성
1110	전망됨
1107	교수
1106	차이
1103	기술이전
1103	업계
1102	제고
1102	의견
1095	안정적
1091	회사
1086	부여
1078	제한
1076	표시
1071	효과적
1070	입력
1065	연구소
1065	경쟁기술
1064	이들
1061	최고
1061	완구
1060	위험
1059	개발목표
1058	이미
1058	주변
1055	요소기술별
1052	비율
1049	시제품
1039	상기
1039	부착
1037	방안
1036	증착
1035	효율성
1034	금융
1031	제시함
1028	인수
1025	반면
1021	빌딩
1020	기술수준
1019	촉진
1018	식별
1018	2021년
1018	기술범위
1018	경험
1014	부문
1011	건강관리
1010	보완
1002	정부지원
1002	성공
1002	정확도
998	이와
987	산학협력단
981	극대화
979	전체구간1998년2019년
971	신기술
970	작용
970	능력
968	국가수
962	객체
962	16년
960	대역
959	단일
958	극복
958	영국
957	기술요구사항
954	2013년
953	주목
953	재난
952	제외
951	가공기술
951	위협
950	입자
948	특허인용수명
948	투입기술
946	공구
942	신소재
941	일정
941	역시
941	가정용
940	단점
940	해석
939	뛰어
938	주차
938	Si
936	미디어
935	상호작용
934	제조방법
933	PC
931	센터
931	기여
930	다이캐스팅
929	프린터
928	대량
926	운전
926	자외선
926	화재
925	고가
925	함유
924	감성
924	점유
917	역량
916	Mo
912	업무
910	전원
908	무역수지
902	상호
901	시대
900	변경
899	제목
898	한국기계연구원
892	대표
891	동일
889	가정
889	최신
887	가치
884	2022년
883	조건
879	연구원
874	늘어
872	미국국적
869	설명
867	차별화
867	아래
866	국제
863	별도
859	요구됨
859	부재
858	연구기관
854	위협Threat
853	만들어
852	급증
849	않음
846	복잡
843	전통적
843	포장
843	Fi
832	EU
831	이종
829	진화
829	조직
829	스위치
828	물체
828	2023년
826	건수
823	공공
823	선택
822	제조업체
821	성장세
820	보장
816	시장진입
813	전기적
812	실시
804	17년
801	민간
800	집중적
799	등록특허
797	터치
796	기구
795	기술들
795	양성
793	특성상
792	신속
792	만족
791	산업분야
791	실증
790	발광
788	기초
786	Corp
785	산업시장
785	억원
784	용도별
783	도구
783	가치사슬
780	거리
780	기본
780	브랜드
780	각국
775	회수
773	급속
772	현실
772	Pro
771	접속
770	동력
770	소재기술
769	부가가치
768	전반
765	지능화
764	질환
763	기술이전가능
763	개별
762	Time
762	제조사
761	기술격차
759	고빈도
759	저가
758	선정평
757	유형
757	수출금액
757	현상
757	특허정보
755	한국과학기술원
754	이내
753	경제
752	미미
751	차년도
751	연간
751	패러다임
751	지표
750	고장
750	발달
749	출원인인
746	사회
745	경로
743	프랑스
737	2012년
737	완료
737	응용분야
736	중요성
735	자산
735	사전
733	운동
731	국적의
730	아시아
728	연관도수
726	자사
726	수입금액
725	건축
725	국적별
724	수단
722	출원비중
721	특허전략
718	교통
717	그룹
717	전체적
717	조작
716	개발하였
713	방향성
711	편의성
708	기반기술
708	구매
704	증가하였
702	품목별
701	사용량
698	구간
697	광고
695	전문기업
689	평가결과
688	신산업
688	전방
686	대두
686	인하
685	실행
683	말함
682	중견기업
680	집중력
679	LD
677	조합
675	생산량
673	사료
673	기간
673	전반적
672	의류
671	전압
671	타입
670	연관
669	심화
669	시행
666	Comm
660	전구체
659	문제점
657	소규모
656	체결
656	충돌
656	억제
652	축적
652	유지보수
651	선보
650	자유
649	스타트업
648	매년
646	도출되었
645	국내기업
644	선호
643	혼합
642	국적
641	요인
640	이해
640	한국과학기술연구원
640	상당
639	전략적
638	적합성
638	않아
638	이용자
636	작업자
636	개발계획
635	고정
635	다기능
634	서로
634	주요기업
634	뷰티
633	전통식품
633	비디오
632	첨가제
631	핵심부품
631	시장점유율
628	지원사업
625	애플
625	접착
625	단축
624	생활
624	공공기관
623	조정검토
622	제품별
622	장벽
622	전해액
619	레이더
619	필수
618	외국국적
618	손실
617	인테리어
617	선정위원회
617	복수
615	경제적
614	과거
613	규격
611	시사점
611	비전
610	인쇄
609	파장
609	제품들
609	이력
606	국내업체동향
602	기술특허분석
601	다국적
601	유의
600	해외업체동향
599	특허기술
594	걸쳐
594	ha
593	결함
593	인도
590	구비
589	모듈화
588	저하
588	적절
587	연구목표
586	성과
586	스스로
585	장애물
585	가속
584	흡수
583	보관
582	신뢰
582	신체
581	보고서
580	본격적
579	10년간
579	실적
577	흐름
574	기업들은
573	시장성
573	우위
572	제품군
568	가운데
568	제도
566	일본국적
565	연속
565	15년
565	오염
565	2010년
562	공격
561	산업화
561	소요
561	소셜
559	출현
558	자국
558	행동
558	저렴
557	채택
556	부각
555	증가율
554	발명
554	반복
553	1위
553	수요자
553	격차
552	접촉
551	지식
550	관제
549	사업자
549	납품
549	세부내용
548	점접착소재
548	풍력
548	기술혁신
547	지능
547	경보
546	의사결정
545	유닛
544	파일
544	지정
543	미생물
543	변형
543	산업계
541	기본적
539	시급
539	비슷
539	담당
538	한국이
538	요구사항
537	기술환경분석
537	광범위
536	성질
535	선택적
535	충분
533	중간
532	중점
530	계속
530	중소형
528	실용화
527	파급성
526	소폭
524	2구간2010년2019년
523	코팅필름
523	교환
522	불가능
522	대신
516	시급성
515	제휴
515	편리
515	이송
515	도움
514	원인
514	부하
514	피드백
513	기술체계
511	규정
510	오픈
507	수출특화상태
507	산업환경
505	양방향
505	후보군
504	비고
504	파급효과
504	보정
504	진공
504	생산기술
503	참여정도
503	교체
503	기술경쟁력
502	real
502	바람직
501	추구
501	고유
501	연비
2581	2016년
2457	2017년
2145	2015년
1840	2018년
1447	2구간2015년2019년
1446	1구간2011년2014년
1319	2019년
1228	2014년
1018	2021년
979	전체구간1998년2019년
962	16년
954	2013년
804	17년
737	2012년
579	10년간
565	15년
565	2010년
553	1위
524	2구간2010년2019년
495	10건
476	2011년
473	12년
454	18년
397	1019건
391	기술개발시급성10
391	기술개발파급성10
358	구간1998년2019년
356	14년
351	1차년도
349	B1
343	적합성10
333	10년
326	1구간2000년2009년
321	12월
315	1차
297	19년
293	11월
284	1건
277	전체구간1990년2019년
274	10대
257	21년
248	1억
243	10월
237	1월
235	13년
234	10개
233	1인
218	100건
217	1년
202	1990년대
161	12개
156	10억
153	1구간
145	1개
138	최근구간2011년2019년
137	2010년대
133	11년
127	100199건
111	10배
104	5년1216년
96	15개
95	2001년
95	1990년
92	1000만
90	13개
87	1대
86	1세대
77	1천
76	100개
76	L1
75	100억
74	1회
71	12건
68	15억
67	10Gbps
66	1980년대
65	제1출원인
62	100299건
61	1000건
61	1999년
61	16개
60	100149건
59	1조원
55	1종
54	12대
54	11억
53	1단계
53	100대
51	1m
51	150199건
49	11개
48	17개
47	100m
45	15배
45	12억
45	30년1990년
42	1520년
42	100G
42	1998년
41	22년9819
41	10조
41	11조
40	10G
40	1차적
39	20년9819
39	`15년
39	18개
39	1996년
39	1일
37	1ms
35	10ms
35	10종
35	50100건
35	1997년
34	10분
34	12인
33	21개
33	1995년
32	100배
31	1시간
31	1초
31	100kW
30	14개
30	PM10
29	10kW
29	13건
29	11건
28	개발2018
28	`16년
28	1000대
27	1월부
27	개발2017
27	10cm
27	개발2016
27	20년9817
26	1994년
26	개발2015
26	10m
26	1mm
26	12종
26	10여개
26	`17년
26	1992년
25	5001000건
25	1970년대
24	1000배
24	100억원
24	915nm
24	180억
24	미래전략20132022
23	1991년
23	1GHz
23	1일부
23	10인
22	100만대
22	1825년간
22	01년
22	개발2019
22	1960년대
22	10위권
22	100um
21	10mm
21	100kg
21	14건
21	150건
21	1986년
21	15건
21	1200억
21	100여개
21	13조
20	80211ah
20	19개
20	01년도
20	10이상
20	01m
20	100V
20	2017Vision
19	Research2015
19	11번가
19	15대
19	1건씩
19	120개
19	1인가구
19	1미터
19	15kW
19	미국100
19	1980년
19	1km
19	1Gbps
18	15분
18	10위
18	15조
18	WG1
18	17년23년
18	21건
18	v10
18	10nm
18	10㎛
17	10kg
17	1G
17	추진18
17	100km
17	12m
17	1nm
17	1000여개
17	1987년
17	10um
17	클러스터01
17	20년0019
16	1800만
16	`10년
16	1553B
16	150m
16	100명
16	17건
16	10초
16	12V
16	V10
16	개발2011
16	31일
15	미세먼지PM10
15	주요통계2018
15	1kg
15	1970년
15	10억원
15	10ppm
15	SG17
15	1984년
14	5년1418년간
14	10개국
14	100200건
14	10개사
14	100Gbps
14	1액형
14	1명
14	15kg
14	1만개
14	155억
14	19건
14	1D
14	1993년
14	10명
14	1GW
14	S10
14	MC10
14	클러스터10
14	1톤
14	19조
14	IITP1812
13	100500건
13	171억
13	기본계획1618
13	1가구
13	10시
13	1000명
13	16Q4
13	100150건
13	11일
13	MWC2017
13	1단
13	120kW
13	`18년
13	130억
13	1950년대
13	10km
12	CES2017
12	Gartner201
12	1개월
12	1번
12	개발18
12	1백
12	108억
12	1989년
12	1000mm
12	10조원
12	510년
12	기본계획192
12	발족15년
12	1983년
12	Markets201
12	17배
12	1000개
12	80211ad
11	1416년
11	1550nm
11	1만대
11	1천억원
11	개발19년
11	`14년
11	수립1511월
11	2구간2015년
11	개발2014
11	1이하
11	100년
11	21조
11	18건
11	100K
11	1년간
11	15이상
11	18억원
11	S1
11	12kg
11	199건
11	15GW
11	Report2016
11	1상
11	1973년
11	1출원인
11	1721년
11	105세대
11	개발17
10	1978년
10	2017년2023년
10	12조원
10	1976년
10	1963년
10	2011Global
10	`12년
10	No1
10	150MW
10	CES2016
10	41년
10	코엔자임Q10
10	180박리강도
10	12명
9	1985년
9	1000톤
9	HC10
9	156억
9	211건
9	14대
9	10만대
9	100MW
9	달러18년
9	1000달러
9	센서510
9	M10
9	10㎛급
9	5년1115년
9	15V
9	15종
9	15억원
9	1475nm
9	클러스터11
9	제고방안166
9	13위
9	100nm
9	100달러
9	12월말
9	16건
9	100V100
9	1개소
9	12시간
9	지식경제부2012
9	2012년2017년
9	16대
9	71건
9	15dBm
9	`11년
9	100만원
9	제1단계
9	16년17년
9	100여명
8	1축
8	1100nm
8	발표0911월
8	14000TEU
8	한국보건산업진흥원보고서2014
8	자료2015년
8	PD2014
8	산업동향2014
8	외2001
8	한국농촌경제연구원2018
8	111억
8	15m
8	15년19년
8	5년간162
8	10곳
8	기술개발2015
8	클러스터12
8	1050건
8	13종
8	1등급
8	16명
8	215억
8	120km
8	`19년
8	과학기술전략회의20168
8	제1반사체
8	Market2019
8	2017IFR
8	13833명
8	P1
8	100여종
8	1988년
8	1300mm
8	수립2015
8	CES2018
8	제1위
8	15km
8	한국전자통신연구원2017
8	15Mbps
8	51dB
8	화학센서510
8	5701억
7	12bit
7	Research2016
7	100Gbps급
7	정보통신산업진흥원2016
7	10bit
7	14억원
7	10그룹이었
7	전망16
7	동향2017
7	18V
7	120fps
7	1000억원
7	1839억
7	1625억
7	10달러
7	증가율201721
7	12개월
7	3840x2160
7	212개
7	21억원
7	성장률150
7	15년17년
7	진흥법201612
7	산업통상자원부201
7	증감161
7	LG경제연구원2014
7	개발15
7	크기10억
7	14kg
7	개발2016년
7	15조원
7	10백만
7	16MP
7	1981년
7	NCM811
7	보고서2016
7	1200톤
7	31개
7	일본100
7	분석2016
7	후지경제2015
7	원2011
7	전략153
7	20172022년
7	종합실천계획163
7	189억
7	10㎛이하
7	15mm
7	20162020년
7	1C
7	100점
7	130년
7	TECHNAVIOcom2015
7	100이상
7	1979년
7	201712월
7	21일
7	1064nm
7	10mA
7	100인치
7	10가량
7	1967년
7	10만개
6	2010년2013년
6	178C
6	전망17
6	717일
6	1천개
6	과제2019620206
6	1구간11년14년
6	1091억
6	2구간15년19년
6	1100원
6	지원2017년
6	113건
6	16kHz
6	확대2018
6	1000V
6	1500개
6	11시
6	10만원
6	전략2018
6	174억
6	16억원
6	20112017년
6	개발20162018
6	351억
6	1500MPa
6	가공기2012년
6	개발2010년
6	지원19년
6	한국전자통신연구원2015
6	지원18년
6	100GW
6	1500mm
6	11kg
6	291억
6	31건
6	제1호
6	투자전략2019
6	108dB
6	Research2017
6	10개월
6	1곳
6	MR16
6	Associates16
6	Network2014년
6	인수11
6	MY2012
6	15등
6	당사국총회COP21
6	발표2016
6	310배
6	15이하
6	1억2천
6	1470nm
6	1049건
6	세계1위
6	100만개
6	1W
6	2014년형
6	연구19년
6	수립18
6	10MW
6	105건
6	1969년
6	전략11
6	1216년
6	실시15년16년
6	1958년
6	11종
6	14년16년
6	15년16년
6	발전전략144
6	생산실적2012
6	14162식품
6	IDC2017
6	신문2015
6	2015년2019년
6	130kmh
6	10톤
6	114건
6	150L
6	417억
6	달러14년
6	1600mm
6	1974년
6	Type1
6	1100원달러
6	261억
6	목적용141
5	BK21플러스사업
5	1099건
5	2013년2015년
5	SW수출통계조사연간201712
5	5년1317년
5	10년대
5	16GB
5	10채널
5	14W
5	61건
5	IDC2015
5	한국스마트홈산업협회2015
5	3621억
5	159억
5	Technavio2015
5	1500배
5	1차필터
5	100㎛이하
5	연구2018
5	TC261
5	136건
5	10g
5	12GPa
5	10kV
5	정밀기계부품14
5	1급
5	상온100
5	계획2015
5	100톤
5	115개
5	IBM2012
5	1972년
5	100200Gbps
5	출시15
5	40G100G
5	150249건
5	18kg
5	21년23년
5	17m
5	1015건
5	100종류
5	1개사
5	150기
5	1200개소
5	IITP2016
5	190여개
5	S1000
5	EU129
5	이스라엘166
5	수립141
5	147개
5	제품종류21
5	150이상
5	311억
5	철강1차제품
5	10이하
5	1t
5	10K
5	2741기술사업부
5	1억35억
5	16종
5	한화투자증권2019030
5	91년
5	17년18년
5	150200건
5	100300건
5	증가율201216
5	1억원
5	10년간20202029년
5	1위국
5	10Mbps
5	20122016년
5	163억
5	80211ay
5	촉진19년
5	Market2014
5	1720년
5	개발공개2019
5	윈도10
5	TG45_10
5	128개
5	구축18
5	198개
5	1m2
5	근거법2013년
5	160nm
5	Market2016
5	Report2018
5	18조원
5	12km
5	148조원
5	1㎜
5	15초
5	15억불
5	제시11
5	7517억원
5	14종
5	581건의
5	기본계획2014
5	102433Gbps
5	AZ91
5	Statistics2019
5	Market2018
5	10세대
5	146개
5	20212022년
5	117Gbps
5	12배
5	1020년
5	21백
1843	2020년
884	2022년
828	2023년
496	50건
460	20년
421	2025년
410	3049건
403	4개
396	2029건
394	5년
378	23년
355	2개
351	2차년도
348	2000년대
347	3차년도
344	3개
330	5년간
315	2009년
294	6월
286	5개
266	3월
262	360도
255	2030년
239	9월
229	2000년
228	4대
227	2조
217	2008년
217	2월
216	5월
209	6개월
205	7월
204	5대
199	8월
180	2배
180	4월
178	6개사
177	3대
174	2건
170	22년
160	6개
158	2005년
153	2024년
149	25년
148	3년
147	3가지
146	2위
145	2007년
139	3건
132	6대
126	7개
120	2006년
119	4조
117	5조
114	5억
114	24시간
113	2년
111	4차산업혁명
108	8개
107	30년
104	8대
102	9개
98	200건
96	3위
95	200299건
94	2003년
91	4건
90	3배
89	4가지
89	3년간
88	2종
86	2004년
85	2002년
84	2026년
83	5개년
82	09년
81	2구간
81	3단계
80	5배
80	90이상
80	5천
79	3축
75	5건
75	45억
75	30전략
74	3사
73	400건
72	3만
71	4배
71	2가지
70	9대
69	20개
67	9억
67	300399건
65	2단계
64	7천
63	7건
61	3천
61	5위
60	3종
59	5세대
59	2050년
57	6건
57	4위
56	8천
55	30이상
55	50억
55	4종
54	200억
54	5종
54	98년
53	2천
53	5만
52	7조
52	6자유도
51	3차
51	5000억
51	2035년
50	500699건
49	700건
48	7년
47	7위
47	30개
47	7대
47	50개
47	2000억
47	3천억
46	20건
45	6천
43	4천
42	500건
5	후속작
5	Nanopore
5	힐세리온
5	건설기계산업협회
5	점착강도
5	기업운영
5	생기연
5	이룩하고
5	제2단계
5	실정이었
5	고객만족
5	핵심부품소재
5	치열한분야
5	한국과학기술정보
5	아이소켓
5	인간생활
5	특수관계
5	표준인증실증분야
5	전방대비
5	분리하였
5	전방파급효과
5	대형사고
5	해외지역
5	광통신장
5	2이하
5	약성
5	대도
5	잠재고객
5	i8
5	80건
5	신성장동력원
5	예측서비스
5	후방파급효과
5	장비설비산업
5	중소기업기술수요
5	중동업체들
5	uM
5	기술결합
5	단발성
5	2년여의
5	반증
5	적용응용
5	POSTEC
5	기기개발
5	가장활발
5	Sauce
5	금속재료기초분석
5	기술개발사업중소벤처기업부
5	터치포인트
5	한국에너지기술연구
5	명가지정
5	중간수요
5	양성대학
5	Arms
5	디스플레이소재부품연구센터
5	여러분야
5	포함시킴
5	국내공작기계
5	한국정밀공학회
5	일반엔지니어링
5	이내90
5	육박하고
5	탑재시
5	세일공업
5	부도
5	분석기술특허분석
5	운영한국생산기술연구원
5	단위요소
5	장비활용서비스
5	출원점유
5	점군
5	릴레이블록
5	병명
5	측정관리
5	상업화기술을
5	구분주요품목
5	생리지표
5	결정자
5	현지기업
5	핵심거점
5	CORDIC
5	내열충격성
5	고속인쇄
5	24hr
5	권고사항
5	국내시장환경
5	Found
5	획득저장
5	시동시
5	INTEL미국
5	전기각
5	주목받았
5	ASSY
5	인문
5	downlink
5	선호추세
5	반영하였
5	시장침체
5	장병
5	리콘
5	콜라
5	휴대장
5	사용압력
5	흥행
5	국가보안
5	정설
5	지칭하고
5	초고선명
5	거미줄
5	방청유
5	훌리훌리
5	극소
5	연구개발방향
5	결과보고서
5	공경
5	90GW
5	탐색연구
5	운동부
5	탐상
5	내관
5	조성비
5	저토크
5	시놉시스
5	d단계
5	허용기준
5	충돌범위
5	Stratasys美
5	MANIPUL
5	CHEMICAL일본
5	건설기술연구사업
5	등재하였
5	CORP일본
5	시장전략
5	RTA가구
5	경기대진테크노파크
5	해산
5	SAKAI
5	활용기술개발사업
5	동원FB
5	이동량
5	서양
5	자부
5	영화금속
5	폐기물중
5	고급강
5	장진입
5	지정폐기물
5	기존공정
5	한국인쇄전자산업협회
5	매립장
5	사업장배출시설
5	팽배
5	선별기술
5	산업연관효과
5	서울경제
5	시설기준
5	640nm
5	입자미세화
5	해양과학기술원
5	증량
5	25년간
5	학습지
5	도전제
5	학습활동
5	포장체
5	안내장치
5	작동성
5	아성
5	교육화
5	마이봄
5	보강하고
5	전문강의
5	접착제들
5	홍합
5	제품구조
5	新기술
5	학문적
5	확장되었
5	대변혁
5	무버
5	서비스제공
5	원가구조
5	폭발력
5	충원
5	학자
5	tone
5	40인
5	명명하고
5	유자
5	에스엘비코리아
5	상태확인
5	수준격차
5	국고보조
5	4차원적
5	제사
5	소재확보
5	품질유통시스템
5	자립적
5	Precitech미국
5	고령친화산업진흥법
5	생산수출수입
5	recent
5	50배
5	과학기술진흥기구
5	식품저널뉴스
5	국제표준화기구ISO
5	자력선별
5	진단시
5	FANUC일본
5	검사기관
5	Nachi일본
5	병동
5	Nagase일본
5	인증마크
5	수입처
5	사전인식
5	V라
5	임상테스
5	시험결과
5	23단계
5	범부처과기정통부
5	태동하고
5	산업기술수준조사
5	착용가능하고
5	등]
5	고객성향
5	중소기업현황정보시스
5	KIST분원
5	단어들
5	acids
5	한국보건사회연구원
5	작업기기
5	시험평가기법
5	혁신서비스
5	현수
5	5dB
5	고정날개
5	삼출
5	유입부
5	보안표준
5	30dB
5	개발생산하고
5	포괄하고
5	운동처방
5	기술Virtual
5	심부전
5	대사질환관련
5	공인기관
5	아음속
5	속도제한
5	주요개발업체
5	임시허가제
5	주의분산
5	예고하고
5	맹독성
5	전망보고서
5	전환하거
5	6000rpm
5	2030대
5	일반식품시장
5	엔젤렉스
5	대응과제
5	국민성
5	감자
5	4일
5	배송지원
5	건강기능식품고령친화식품
5	불안정력
5	로드맵스마트
5	제어오류
5	부하감지
5	오류감지
5	Class3
5	liftin
5	피크치
5	불편감
5	V2VVehicle
5	구동수단
5	식욕
5	롯데케미칼이
5	측벽
5	수용가용
5	ASSP
5	가천의과대학
5	의무사항
5	글로벌인포메이션
5	주춤하였
5	전문위원
5	모험적
5	정부출연기관
5	개방형실험실장비지원
5	담당연구원
5	국민복지
5	비교열위
5	맞춤의약
5	시험분석지원
5	실험동물
5	배송관련
5	기업니즈
5	명확화
5	데이지
5	제조관련
5	재사용재활용
5	토론회
5	자동차융합기술원
5	입증하였
5	판매회사
5	자동차외
5	우위적
5	전사적관리
5	산업단지공단
5	독점구조
5	독취하거
5	보습작용
5	개구율
5	퓨란
5	무취
5	인력교육
5	원격해킹
5	Yuzhnoye
5	Bead
5	심신
5	총조립
5	고속운전영역
5	활용현황
5	업부
5	배포판
5	77건
5	유지추세
5	있음MWCNT
5	UBEUS
5	업무들
5	대체수단
5	사회혁신
5	소프트웨어중심
5	인터내셔널ID
5	체계종합기술
5	추출되었
5	가적
5	충남테크노파크
5	물질간
5	영입하고
5	자동통번역
5	차단관련
5	확장시킴
5	수요자중심
5	청결성
5	특정개인
5	기술정보보안
5	자동통합문서기반
5	구성부분
5	자동통경기
5	건축산업
5	지방자치
5	들웨어
5	D시스템즈
5	국가재난
5	중국미국
5	피해경감
5	자적
5	화학공학소재연구정보센터
5	해외프로젝트
5	천만원
5	한국진공학회
5	RD신청과제
5	차량진단
5	D센터
5	사이니지Digital
5	협력기술개발사업
5	공정방식
5	B사업
5	bath
5	오케이포스
5	9억불
5	누벤트
5	목동
5	토론토
5	가능거리
5	AgNW
5	경제자유구역
5	피죤
5	기술수요업체
5	500만대
5	내용범위
5	기재선정
5	심포지움
5	천개
5	초록색
5	열쇠고리
5	수급상황
5	대일무역
5	전용공단
5	균일크기
5	실태조사한국정보보호산업협회
5	저감하였
5	견해
5	공업화
5	해외경쟁
5	클푸
5	42건
5	ODA
5	운전점
5	제품국방
5	기체상
5	5만대
5	인체부위별
5	버즈니
5	유세
5	선조
5	반치폭
5	연구실울산대학교
5	양산규모
5	위협적
5	지분투자
5	상시법
5	철강금속신문
5	소요되었
5	방열시스
5	연구실부산대학교
5	lab한국항공대학
5	생산대행
5	주요경쟁업체
5	학교들
5	처리조건
5	능화
5	D로드맵
5	오프로드
5	rivet
5	확대추세
5	행동의도
5	Lv5
5	대응장비
5	볼텍스VR
5	윈드실드
5	년형
5	글레어
5	한국관
5	USB포트
